dataset,formalism,rank,selected_fewshot,distance
NavigableMap_UnsafeIterator,ere,2,ere_05.json,43.000000
NavigableMap_UnsafeIterator,ere,3,ere_01.json,81.000000
NavigableSet_Modification,ere,1,ere_06.json,16.000000
NavigableSet_Modification,ere,2,ere_05.json,63.000000
NavigableSet_Modification,ere,3,ere_07.json,83.000000
Properties_ManipulateAfterLoad,ere,1,ere_03.json,10.000000
Properties_ManipulateAfterLoad,ere,2,ere_02.json,14.000000
Properties_ManipulateAfterLoad,ere,3,ere_04.json,20.000000
ResourceBundleControl_MutateFormatList,ere,1,ere_03.json,2.000000
ResourceBundleControl_MutateFormatList,ere,2,ere_02.json,10.000000
ResourceBundleControl_MutateFormatList,ere,3,ere_04.json,24.000000
Scanner_ManipulateAfterClose,ere,1,ere_03.json,20.000000
Scanner_ManipulateAfterClose,ere,2,ere_04.json,22.000000
Scanner_ManipulateAfterClose,ere,3,ere_02.json,24.000000
Scanner_SearchAfterClose,ere,1,ere_03.json,11.000000
Scanner_SearchAfterClose,ere,2,ere_02.json,15.000000
Scanner_SearchAfterClose,ere,3,ere_04.json,27.000000
ServiceLoaderIterator_Remove,ere,1,ere_03.json,2.000000
ServiceLoaderIterator_Remove,ere,2,ere_02.json,10.000000
ServiceLoaderIterator_Remove,ere,3,ere_04.json,24.000000
ServiceLoader_MultipleConcurrentThreads,ere,1,ere_04.json,15.000000
ServiceLoader_MultipleConcurrentThreads,ere,2,ere_02.json,17.000000
ServiceLoader_MultipleConcurrentThreads,ere,3,ere_03.json,19.000000
