spec_id,provider,model,strategy,shot_mode,domain,formalism,exact_match
URLConnection_OverrideGetPermission,mock,mock-model,random,few_k3,net,event,0
URLConnection_SetBeforeConnect,mock,mock-model,random,few_k3,net,ere,0
URLDecoder_DecodeUTF8,mock,mock-model,random,few_k3,net,event,0
URLEncoder_EncodeUTF8,mock,mock-model,random,few_k3,net,event,0
URL_SetURLStreamHandlerFactory,mock,mock-model,random,few_k3,net,ere,0
ArrayDeque_NonNull,mock,mock-model,random,few_k3,util,event,0
ArrayDeque_UnsafeIterator,mock,mock-model,random,few_k3,util,ere,0
Arrays_Comparable,mock,mock-model,random,few_k3,util,event,0
Arrays_DeepHashCode,mock,mock-model,random,few_k3,util,event,0
Arrays_MutuallyComparable,mock,mock-model,random,few_k3,util,event,0
Arrays_SortBeforeBinarySearch,mock,mock-model,random,few_k3,util,fsm,0
Collections_Comparable,mock,mock-model,random,few_k3,util,event,0
Collections_CopySize,mock,mock-model,random,few_k3,util,event,0
Collections_ImplementComparable,mock,mock-model,random,few_k3,util,event,0
Collections_NewSetFromMap,mock,mock-model,random,few_k3,util,ere,0
Collections_SortBeforeBinarySearch,mock,mock-model,random,few_k3,util,fsm,0
Collections_SynchronizedCollection,mock,mock-model,random,few_k3,util,ere,1
Collections_SynchronizedMap,mock,mock-model,random,few_k3,util,ere,0
Collections_UnnecessaryNewSetFromMap,mock,mock-model,random,few_k3,util,event,0
Collection_HashCode,mock,mock-model,random,few_k3,util,event,0
Collection_StandardConstructors,mock,mock-model,random,few_k3,util,event,0
Collection_UnsafeIterator,mock,mock-model,random,few_k3,util,ere,0
Collection_UnsynchronizedAddAll,mock,mock-model,random,few_k3,util,ere,0
Deque_OfferRatherThanAdd,mock,mock-model,random,few_k3,util,ere,0
Dictionary_NullKeyOrValue,mock,mock-model,random,few_k3,util,event,0
Dictionary_Obsolete,mock,mock-model,random,few_k3,util,ere,0
Enumeration_Obsolete,mock,mock-model,random,few_k3,util,ere,0
EnumMap_NonNull,mock,mock-model,random,few_k3,util,event,0
EnumSet_NonNull,mock,mock-model,random,few_k3,util,event,0
InvalidPropertiesFormatException_NonSerializable,mock,mock-model,random,few_k3,util,event,0
Iterator_HasNext,mock,mock-model,random,few_k3,util,ltl,0
Iterator_RemoveOnce,mock,mock-model,random,few_k3,util,ere,0
ListIterator_hasNextPrevious,mock,mock-model,random,few_k3,util,fsm,0
ListIterator_RemoveOnce,mock,mock-model,random,few_k3,util,ere,0
ListIterator_Set,mock,mock-model,random,few_k3,util,ere,0
List_UnsafeListIterator,mock,mock-model,random,few_k3,util,ere,0
List_UnsynchronizedSubList,mock,mock-model,random,few_k3,util,ere,0
Map_CollectionViewAdd,mock,mock-model,random,few_k3,util,ere,0
Map_ItselfAsKey,mock,mock-model,random,few_k3,util,event,0
Map_ItselfAsValue,mock,mock-model,random,few_k3,util,event,0
Map_StandardConstructors,mock,mock-model,random,few_k3,util,event,0
Map_UnsafeIterator,mock,mock-model,random,few_k3,util,ere,0
Map_UnsynchronizedAddAll,mock,mock-model,random,few_k3,util,ere,0
NavigableMap_Modification,mock,mock-model,random,few_k3,util,ere,0
NavigableMap_UnsafeIterator,mock,mock-model,random,few_k3,util,ere,0
NavigableSet_Modification,mock,mock-model,random,few_k3,util,ere,0
PriorityQueue_NonComparable,mock,mock-model,random,few_k3,util,event,0
PriorityQueue_NonNull,mock,mock-model,random,few_k3,util,event,0
Properties_ManipulateAfterLoad,mock,mock-model,random,few_k3,util,ere,0
Random_OverrideNext,mock,mock-model,random,few_k3,util,event,0
ResourceBundleControl_MutateFormatList,mock,mock-model,random,few_k3,util,ere,0
Scanner_ManipulateAfterClose,mock,mock-model,random,few_k3,util,ere,0
Scanner_SearchAfterClose,mock,mock-model,random,few_k3,util,ere,0
ServiceLoaderIterator_Remove,mock,mock-model,random,few_k3,util,ere,0
ServiceLoader_MultipleConcurrentThreads,mock,mock-model,random,few_k3,util,ere,0
Set_ItselfAsElement,mock,mock-model,random,few_k3,util,event,0
SortedMap_StandardConstructors,mock,mock-model,random,few_k3,util,event,0
SortedSet_Comparable,mock,mock-model,random,few_k3,util,event,0
